종목명,종목코드,DART점수,Tier1발동,Tier1,호재내역,악재내역,최근공시,공시건수
더코디,224060,-195,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-09-14: 소액공모공시서류(지분증권) | 2026-09-14: 소액공모공시서류(지분증권) | 2026-09-14: [기재정정]주요사항보고서(유상증자결정) | 2026-09-14: [기재정정]주요사항보고서(유상증자결정) | 2026-09-09: [기재정정]주요사항보고서(유상증자결정),35
루멘스바이오스,038060,-165,🚨 YES,"[첨부정정]주요사항보고서(감자결정) | [첨부정정]주요사항보고서(유상증자결정) | 기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달)",,"[첨부정정]주요사항보고서(감자결정)(-20) | [첨부정정]주요사항보고서(유상증자결정)(-15) | 기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달)(-30) | 주요사항보고서(유상증자결정)(-15) | 주요사항보고서(감자결정)(-20)","2026-09-14: [첨부정정]주요사항보고서(감자결정) | 2026-09-14: [첨부정정]주요사항보고서(유상증자결정) | 2026-09-14: [첨부정정]주주총회소집결의              (임시주주총회) | 2026-09-11: 기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달) | 2026-09-11: 주주명부폐쇄기간또는기준일설정              ",23
디에이치엑스컴퍼니,031860,-160,🚨 YES,주권매매거래정지기간변경              (풍문사유(현직 임원의 횡령·배임혐의설) 미해소) | 주권매매거래정지기간변경              (풍문사유(현직 임원의 횡령·배임혐의설) 미해소) | 주권매매거래정지기간변경              (풍문사유(현직 임원의 횡령·배임혐의설) 미해소),,주권매매거래정지기간변경              (풍문사유(현직 임원의 횡령·배임혐의설) 미해소)(-25) | 주권매매거래정지기간변경              (풍문사유(현직 임원의 횡령·배임혐의설) 미해소)(-25) | 주권매매거래정지기간변경              (풍문사유(현직 임원의 횡령·배임혐의설) 미해소)(-30) | 주권매매거래정지기간변경              (풍문 또는 보도 관련)(-30) | 조회공시요구(풍문또는보도)              (현직 임원의 횡령·배임혐의설)(-25),2026-09-14: 주주명부폐쇄기간또는기준일설정               | 2026-09-14: 주주총회소집결의              (임시주주총회) | 2026-09-07: 주권매매거래정지기간변경              (풍문사유(현직 임원의 횡령·배임혐의설) 미해소) | 2026-09-07: 조회공시요구(풍문또는보도)에대한답변(미확정)               | 2026-09-07: 조회공시요구(현저한시황변동)에대한답변(미확정)              ,8
본느,226340,-145,🚨 YES,[첨부정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,[첨부정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]최대주주변경을수반하는주식양수도계약체결              (-5) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-09-10: 대표이사변경               | 2026-09-10: 독립이사의선임ㆍ해임또는중도퇴임에관한신고 | 2026-09-10: 임시주주총회결과               | 2026-09-10: [첨부정정]주요사항보고서(유상증자결정) | 2026-09-09: [기재정정]주요사항보고서(유상증자결정),24
엔투텍,227950,-135,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-09-11: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-09-11: 주주총회소집공고 | 2026-09-11: [기재정정]주주총회소집결의               | 2026-09-11: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-09-11: [기재정정]주요사항보고서(전환사채권발행결정),13
한국첨단소재,062970,-130,🚨 YES,주요사항보고서(전환사채권발행결정) | 주요사항보고서(전환사채권발행결정) | 주권매매거래정지해제              (우회상장 미해당),,주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15) | [기재정정]최대주주변경              (-5) | 주권매매거래정지해제              (우회상장 미해당)(-30) | 최대주주변경              (-5),2026-09-11: 타법인주식및출자증권취득결정               | 2026-09-11: [기재정정]전환가액의조정               | 2026-09-10: [기재정정]증권발행결과(자율공시)               | 2026-09-10: 증권발행결과(자율공시)               | 2026-09-10: 증권발행결과(자율공시)              ,28
다보링크,340360,-125,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | 주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(유상증자결정)(-15) | 최대주주변경을수반하는주식담보제공계약해제ㆍ취소등              (-5) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-09-15: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-09-14: 증권발행결과(자율공시)              (일반공모증자-소액공모) | 2026-09-14: 소액공모실적보고서 | 2026-09-11: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-09-10: 유상증자또는주식관련사채등의청약결과(자율공시)              ,20
캔버스엔,210120,-120,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-09-11: 불성실공시법인지정예고              (공시변경 3건) | 2026-09-11: 독립이사의선임ㆍ해임또는중도퇴임에관한신고 | 2026-09-11: 상호변경안내               | 2026-09-11: 임시주주총회결과               | 2026-09-10: 주식등의대량보유상황보고서(약식),20
애드바이오텍,179530,-120,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-09-08: 전환청구권행사               | 2026-09-04: 전환청구권행사               | 2026-09-03: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-09-03: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-09-03: [기재정정]주요사항보고서(자기전환사채매도결정),14
아이큐어,175250,-115,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | 주권매매거래정지해제              (상장유지 결정) | [기재정정]주요사항보고서(유상증자결정),,최대주주변경을수반하는주식담보제공계약체결              (-5) | [기재정정]최대주주변경              (-5) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주권매매거래정지해제              (상장유지 결정)(-30) | 최대주주변경을수반하는주식담보제공계약해제ㆍ취소등              (-5),2026-09-15: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-09-10: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-09-09: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-09-09: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-09-04: 최대주주변경을수반하는주식담보제공계약체결              ,24
