종목명,종목코드,DART점수,Tier1발동,Tier1,호재내역,악재내역,최근공시,공시건수
한국유니온제약,080720,-140,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15) | 최대주주변경              (-5) | 주권매매거래정지기간변경              (투자자 보호)(-30),2026-06-09: [기재정정]주요사항보고서(유상증자결정) | 2026-06-09: [기재정정]주요사항보고서(감자결정) | 2026-06-09: [기재정정]주요사항보고서(유상증자결정) | 2026-06-08: 주주총회소집공고 | 2026-06-08: 주주총회소집결의              (임시주주총회),18
플루토스,019570,-135,🚨 YES,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | 주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(감자결정)",,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30) | 주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15)","2026-06-12: 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | 2026-06-10: 주요사항보고서(전환사채권발행결정) | 2026-06-10: 주식등의대량보유상황보고서(약식) | 2026-06-05: 주식등의대량보유상황보고서(약식) | 2026-06-02: 대표이사변경              ",23
알엔티엑스,123010,-120,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-06-11: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-06-11: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-06-11: 증권발행결과(자율공시)               | 2026-06-11: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-06-11: [기재정정]주요사항보고서(유상증자결정),30
모바일어플라이언스,087260,-115,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | 조회공시요구(풍문또는보도)              (대표 등 주요 경영진 횡령·배임 피소설) | 조회공시요구(풍문또는보도)              (대표 등 주요 경영진 횡령·배임 피소설),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]최대주주변경              (-5) | 조회공시요구(풍문또는보도)              (대표 등 주요 경영진 횡령·배임 피소설)(-25) | 조회공시요구(풍문또는보도)              (대표 등 주요 경영진 횡령·배임 피소설)(-25) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-06-12: 사외이사의선임ㆍ해임또는중도퇴임에관한신고 | 2026-06-12: 주주총회소집공고 | 2026-06-12: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-06-12: [기재정정]주주총회소집결의               | 2026-06-12: 대표집행임원변경              ,24
블루산업개발,006740,-105,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | 주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-06-12: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-06-12: 주요사항보고서(전환사채권발행결정) | 2026-06-10: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-06-08: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-06-05: [기재정정]주요사항보고서(전환사채권발행결정),16
엠젠솔루션,032790,-105,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [첨부정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주권매매거래정지해제              (액면병합 주권 변경상장)(-30),2026-06-09: 증권발행결과(자율공시)              (제24회차 CB) | 2026-06-09: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-06-05: [첨부정정]주요사항보고서(전환사채권발행결정) | 2026-06-01: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-05-28: [기재정정]주요사항보고서(자기전환사채매도결정),9
EDGC,245620,-100,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20),2026-06-11: [기재정정]주주총회소집결의              (임시주주총회) | 2026-05-26: [기재정정]주요사항보고서(유상증자결정) | 2026-05-26: [기재정정]주요사항보고서(감자결정) | 2026-05-26: [기재정정]주요사항보고서(유상증자결정) | 2026-05-22: [기재정정]주요사항보고서(유상증자결정),12
씨씨에스,066790,-95,🚨 YES,[기재정정]주요사항보고서(감자결정) | [첨부정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(감자결정),,[기재정정]주요사항보고서(감자결정)(-20) | [기재정정]최대주주변경을수반하는주식양수도계약체결              (-5) | [첨부정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]최대주주변경을수반하는주식양수도계약체결              (-5),2026-06-12: 소송등의제기ㆍ신청(경영권분쟁소송)              (임시총회소집허가 신청) | 2026-06-12: [첨부정정]의결권대리행사권유참고서류 | 2026-06-12: [기재정정]의결권대리행사권유참고서류 | 2026-06-11: [기재정정]의결권대리행사권유참고서류 | 2026-06-11: [기재정정]의결권대리행사권유참고서류,44
티에스넥스젠,043220,-90,🚨 YES,주권매매거래정지              (투자자 보호) | 주권매매거래정지해제              (상장폐지에 따른 정리매매 개시) | 주권매매거래정지기간변경              (회생절차 개시신청),,주권매매거래정지              (투자자 보호)(-30) | 주권매매거래정지해제              (상장폐지에 따른 정리매매 개시)(-30) | 주권매매거래정지기간변경              (회생절차 개시신청)(-30),2026-06-09: 주권매매거래정지              (투자자 보호) | 2026-06-09: 기타시장안내              (정리매매 보류 관련) | 2026-06-09: 기타경영사항(자율공시)              (상장폐지결정 효력정지 가처분 신청) | 2026-06-08: 주권매매거래정지해제              (상장폐지에 따른 정리매매 개시) | 2026-06-08: 기타시장안내              (기업심사위원회 심의·의결 결과 안내),10
셀레스트라,352770,-90,🚨 YES,주권매매거래정지              (투자자 보호) | 주권매매거래정지해제              (상장폐지에 따른 정리매매 개시) | 주권매매거래정지기간변경              (상장적격성 실질심사 대상(사유발생)),,주권매매거래정지              (투자자 보호)(-30) | 주권매매거래정지해제              (상장폐지에 따른 정리매매 개시)(-30) | 주권매매거래정지기간변경              (상장적격성 실질심사 대상(사유발생))(-30),2026-06-11: [기재정정]회생절차개시결정               | 2026-06-09: 주권매매거래정지              (투자자 보호) | 2026-06-09: 기타시장안내              (정리매매 보류 관련) | 2026-06-09: 기타경영사항(자율공시)              (상장폐지결정등 효력정지 가처분 신청) | 2026-06-08: 주권매매거래정지해제              (상장폐지에 따른 정리매매 개시),11
