종목명,종목코드,DART점수,Tier1발동,Tier1,호재내역,악재내역,최근공시,공시건수
에이프로젠,007460,-135,🚨 YES,[기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정) | [기재정정]주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)               | 주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              (제11회차),,[기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              (-15) | 주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              (제11회차)(-15) | 주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              (제10회차)(-15) | 주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정)(-15),2026-07-01: 주식등의대량보유상황보고서(약식) | 2026-06-29: [기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정) | 2026-06-29: [기재정정]주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)               | 2026-06-26: [기재정정]투자판단관련주요경영사항               | 2026-06-26: 주식등의대량보유상황보고서(일반),15
CSA 코스믹,083660,-127,🚨 YES,[기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(유상증자결정),[기재정정]주식분할결정              (+3),[기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15),2026-07-01: 주주명부폐쇄기간또는기준일설정               | 2026-07-01: 주주총회소집결의              (임시주주총회) | 2026-07-01: [기재정정]주요사항보고서(감자결정) | 2026-06-30: 전환가액의조정              (제4회차) | 2026-06-29: [기재정정]주식분할결정              ,14
블루산업개발,006740,-120,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15),2026-07-01: 전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)               | 2026-06-29: 의결권대리행사권유참고서류 | 2026-06-29: [기재정정]주주총회소집결의               | 2026-06-29: 주주총회소집공고 | 2026-06-29: 주식병합결정              ,24
알엔티엑스,123010,-115,🚨 YES,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정)",,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30) | [기재정정]최대주주변경을수반하는주식양수도계약체결              (-5) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15)","2026-07-01: 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | 2026-06-26: [기재정정]최대주주변경을수반하는주식양수도계약체결               | 2026-06-25: [기재정정]주식병합결정               | 2026-06-25: [기재정정]전환청구권행사               | 2026-06-19: 주식등의대량보유상황보고서(약식)",24
썸에이지,208640,-105,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | 주권매매거래정지해제              (감자 주권 변경상장),,"[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주권매매거래정지해제              (감자 주권 변경상장)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30)",2026-07-01: [기재정정]주요사항보고서(유상증자결정) | 2026-06-29: 권리락              (유상증자) | 2026-06-29: 투자설명서 | 2026-06-29: [발행조건확정]증권신고서(지분증권) | 2026-06-29: [기재정정]주요사항보고서(유상증자결정),17
제이에스링크,127120,-105,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-07-01: 주식등의대량보유상황보고서(약식) | 2026-06-29: 주식등의대량보유상황보고서(일반) | 2026-06-29: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-06-26: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-06-25: 증권발행결과(자율공시)              (제18회차),13
한국유니온제약,080720,-100,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20),2026-07-01: 감자완료               | 2026-06-16: [기재정정]주요사항보고서(유상증자결정) | 2026-06-16: [기재정정]주요사항보고서(감자결정) | 2026-06-16: [기재정정]주요사항보고서(유상증자결정) | 2026-06-15: [기재정정]주주총회소집공고,14
알파AI,043100,-90,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주권매매거래정지기간변경              (회생절차 개시신청)(-30),2026-06-30: [기재정정]타법인주식및출자증권취득결정               | 2026-06-30: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-06-30: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-06-30: [기재정정]주식병합결정               | 2026-06-30: 임시주주총회결과              ,16
우성머티리얼스,011300,-90,🚨 YES,[첨부정정]주요사항보고서(유상증자결정) | [첨부정정]주요사항보고서(유상증자결정) | [첨부정정]주요사항보고서(유상증자결정),,[첨부정정]주요사항보고서(유상증자결정)(-15) | [첨부정정]주요사항보고서(유상증자결정)(-15) | [첨부정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-06-18: [첨부정정]주요사항보고서(유상증자결정) | 2026-06-18: [첨부정정]주요사항보고서(유상증자결정) | 2026-06-18: [첨부정정]주요사항보고서(유상증자결정) | 2026-06-18: [기재정정]주요사항보고서(유상증자결정) | 2026-06-18: [기재정정]주요사항보고서(유상증자결정),9
오에스피,368970,-90,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | 주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주요사항보고서(유상증자결정)(-15) | [첨부추가]주요사항보고서(유상증자결정)(-15) | 주권매매거래정지              (무상증자)(-30),2026-06-30: [기재정정]주요사항보고서(유상증자결정) | 2026-06-29: [기재정정]주요사항보고서(유상증자결정) | 2026-06-26: 주요사항보고서(유상증자결정) | 2026-06-25: [기재정정]주요사항보고서(무상증자결정) | 2026-06-18: 권리락              (무상증자),14
